week_ending,ZIP,caseRate
08/08/2020,10001,7.24
08/15/2020,10001,14.49
08/22/2020,10001,14.49
08/29/2020,10001,7.24
09/05/2020,10001,32.59
09/12/2020,10001,43.46
09/19/2020,10001,25.35
09/26/2020,10001,10.86
10/03/2020,10001,28.97
10/10/2020,10001,39.84
10/17/2020,10001,32.59
10/24/2020,10001,50.7
10/31/2020,10001,36.21
11/07/2020,10001,105.02
11/14/2020,10001,202.8
11/21/2020,10001,170.21
11/28/2020,10001,133.99
12/05/2020,10001,246.26
12/12/2020,10001,191.94
12/19/2020,10001,271.61
12/26/2020,10001,188.32
01/02/2021,10001,210.05
01/09/2021,10001,445.44
01/16/2021,10001,282.47
01/23/2021,10001,329.55
01/30/2021,10001,289.72
02/06/2021,10001,286.1
02/13/2021,10001,260.75
02/20/2021,10001,170.21
02/27/2021,10001,231.77
03/06/2021,10001,228.15
03/13/2021,10001,246.26
03/20/2021,10001,373.01
03/27/2021,10001,296.96
04/03/2021,10001,296.96
04/10/2021,10001,210.05
04/17/2021,10001,152.1
04/24/2021,10001,97.78
05/01/2021,10001,94.16
05/08/2021,10001,76.05
05/15/2021,10001,54.32
05/22/2021,10001,61.57
05/29/2021,10001,21.73
06/05/2021,10001,28.97
06/12/2021,10001,18.11
06/19/2021,10001,32.59
06/26/2021,10001,21.73
07/03/2021,10001,28.97
07/10/2021,10001,94.16
07/17/2021,10001,108.64
07/24/2021,10001,191.94
07/31/2021,10001,162.97
08/07/2021,10001,217.29
08/14/2021,10001,220.91
08/21/2021,10001,162.97
08/28/2021,10001,235.4
09/04/2021,10001,181.07
09/11/2021,10001,188.32
09/18/2021,10001,184.7
09/25/2021,10001,108.64
10/02/2021,10001,144.86
10/09/2021,10001,112.27
10/16/2021,10001,90.54
10/23/2021,10001,61.57
10/30/2021,10001,0.0
08/08/2020,10002,39.83
08/15/2020,10002,10.62
08/22/2020,10002,21.24
08/29/2020,10002,10.62
09/05/2020,10002,7.97
09/12/2020,10002,6.64
09/19/2020,10002,22.57
09/26/2020,10002,25.22
10/03/2020,10002,18.59
10/10/2020,10002,35.85
10/17/2020,10002,30.54
10/24/2020,10002,50.45
10/31/2020,10002,55.76
11/07/2020,10002,79.66
11/14/2020,10002,138.07
11/21/2020,10002,138.07
11/28/2020,10002,160.64
12/05/2020,10002,233.66
12/12/2020,10002,381.03
12/19/2020,10002,371.73
12/26/2020,10002,347.84
01/02/2021,10002,351.82
01/09/2021,10002,513.79
01/16/2021,10002,407.58
01/23/2021,10002,465.99
01/30/2021,10002,370.41
02/06/2021,10002,310.66
02/13/2021,10002,321.28
02/20/2021,10002,330.58
02/27/2021,10002,338.54
03/06/2021,10002,343.85
03/13/2021,10002,359.79
03/20/2021,10002,338.54
03/27/2021,10002,357.13
04/03/2021,10002,309.34
04/10/2021,10002,257.56
04/17/2021,10002,223.04
04/24/2021,10002,119.49
05/01/2021,10002,114.18
05/08/2021,10002,66.38
05/15/2021,10002,30.54
05/22/2021,10002,18.59
05/29/2021,10002,15.93
06/05/2021,10002,17.26
06/12/2021,10002,13.28
06/19/2021,10002,5.31
06/26/2021,10002,6.64
07/03/2021,10002,19.91
07/10/2021,10002,42.48
07/17/2021,10002,57.09
