placekey,visits_by_day,visitor_home_aggregation
22q-222@627-s8h-w8v,"[5,7,10,2,1,5,5,4,5,11,4,2,9,7,5,9,8,7,0,4,7,3,13,27,3,0,1,6,5,5]","[{'ZIP': '10003', 'n': 15}, {'ZIP': '10010', 'n': 8}, {'ZIP': '10011', 'n': 8}, {'ZIP': '10016', 'n': 8}, {'ZIP': '11237', 'n': 5}]"
zzz-222@627-s6k-sdv,"[3,8,5,7,10,8,11,8,14,7,4,11,6,16,5,13,7,3,12,6,18,13,18,6,2,14,11,17,7,11]","[{'ZIP': '10451', 'n': 8}, {'ZIP': '10456', 'n': 8}, {'ZIP': '10457', 'n': 25}, {'ZIP': '10458', 'n': 16}, {'ZIP': '10460', 'n': 18}, {'ZIP': '10462', 'n': 8}, {'ZIP': '10466', 'n': 8}, {'ZIP': '10468', 'n': 8}, {'ZIP': '10469', 'n': 10}, {'ZIP': '11225', 'n': 5}, {'ZIP': '11226', 'n': 5}]"
zzy-222@627-s92-gtv,"[7,14,6,6,9,9,7,11,6,6,7,3,4,6,11,7,4,2,4,9,10,7,5,7,2,7,7,9,11,7]","[{'ZIP': '11216', 'n': 15}, {'ZIP': '11230', 'n': 8}, {'ZIP': '11238', 'n': 12}]"
zzz-222@627-wgj-2c5,"[60,56,71,99,80,95,92,96,92,82,84,64,94,97,78,62,66,97,92,102,72,80,118,105,99,84,102,95,77,69]","[{'ZIP': '10304', 'n': 5}, {'ZIP': '10305', 'n': 9}, {'ZIP': '10306', 'n': 8}, {'ZIP': '10308', 'n': 8}, {'ZIP': '10312', 'n': 16}, {'ZIP': '10314', 'n': 8}, {'ZIP': '11204', 'n': 30}, {'ZIP': '11210', 'n': 26}, {'ZIP': '11212', 'n': 8}, {'ZIP': '11214', 'n': 48}, {'ZIP': '11218', 'n': 13}, {'ZIP': '11223', 'n': 108}, {'ZIP': '11224', 'n': 66}, {'ZIP': '11228', 'n': 9}, {'ZIP': '11229', 'n': 140}, {'ZIP': '11230', 'n': 62}, {'ZIP': '11234', 'n': 65}, {'ZIP': '11235', 'n': 459}]"
zzw-228@627-s8j-k2k,"[5,10,3,6,6,5,5,9,6,10,5,3,7,12,7,5,8,6,8,3,13,11,5,2,4,4,7,2,12,6]","[{'ZIP': '10010', 'n': 8}, {'ZIP': '10016', 'n': 17}, {'ZIP': '10306', 'n': 5}, {'ZIP': '11215', 'n': 8}, {'ZIP': '11235', 'n': 8}]"
22z-222@627-wc9-qj9,"[5,12,3,0,3,4,3,2,6,2,2,2,6,4,4,2,1,0,1,1,4,8,4,1,0,8,3,3,4,4]","[{'ZIP': '10002', 'n': 16}, {'ZIP': '10038', 'n': 8}, {'ZIP': '11223', 'n': 8}]"
zzy-223@627-s64-yvz,"[4,9,12,3,9,21,19,35,25,20,13,37,34,39,19,30,29,18,27,28,26,19,18,20,14,29,25,19,18,17]","[{'ZIP': '10463', 'n': 15}, {'ZIP': '10471', 'n': 50}]"
229-222@627-wc7-8sq,"[8,4,3,15,4,11,11,4,7,4,3,4,9,4,3,6,4,3,4,9,8,4,8,5,5,10,5,7,6,2]","[{'ZIP': '10002', 'n': 20}, {'ZIP': '10038', 'n': 11}]"
zzz-222@627-s4s-nnq,"[8,12,13,6,11,10,10,12,14,7,2,8,11,17,4,11,8,6,13,16,9,11,8,9,4,10,8,9,9,8]","[{'ZIP': '10025', 'n': 5}, {'ZIP': '10027', 'n': 41}, {'ZIP': '10031', 'n': 11}, {'ZIP': '10032', 'n': 6}]"
zzz-222@627-s4v-2zf,"[4,1,3,4,4,7,7,4,4,2,1,1,6,7,4,5,4,6,10,11,6,6,4,9,3,4,3,12,6,4]","[{'ZIP': '10029', 'n': 27}, {'ZIP': '10456', 'n': 8}]"
22c-222@627-wc7-qmk,"[7,7,9,3,11,8,3,8,3,4,0,9,5,9,1,9,3,2,2,10,11,8,9,8,6,9,13,10,4,5]","[{'ZIP': '10003', 'n': 29}, {'ZIP': '10009', 'n': 16}, {'ZIP': '10011', 'n': 8}, {'ZIP': '10012', 'n': 8}]"
